parameter_set,epsilon,solver,embedding_precision,block_size,q,q_bits,power2_ceiling,absolute_gap,relative_gap,acceptance_ratio,expected_attempts,SD,RD,log2_renyi_minus_one,exact_linf_svp,heuristic_bkz,global_svp_certified,interval_post_verified,selected,status
falcon,0.500000000000000000000000000000,falcon-epsilon-bkz,128,10,8921,14,16384,7463,0.45550537109375000000000000000000000000000000000000,0.54449462890625000000000000000000000000000000000000,1.8365654074655307700930388969846429772447035085753,0.000038754838734898937729162091418498114990186733742825,1.0002792937657658193211992323958652276558243664536,-11.805929008577902328677174229557761350932010593682,false,true,false,true,false,renyi_requirement_failed
falcon,0.500000000000000000000000000000,falcon-epsilon-bkz,128,10,9069,14,16384,7315,0.44647216796875000000000000000000000000000000000000,0.55352783203125000000000000000000000000000000000000,1.8065938912779799316352409306428492667328261109273,0.00010247292386085941982355053045897033606813565174671,1.0000684731570444925784324658847912888077932434843,-13.834101943130866995465527544736716403622308230248,false,true,false,true,false,renyi_requirement_failed
falcon,0.500000000000000000000000000000,falcon-epsilon-bkz,128,10,9186,14,16384,7198,0.43933105468750000000000000000000000000000000000000,0.56066894531250000000000000000000000000000000000000,1.7835837143479207489658175484432832571304158502068,0.00012796872537215546432279894447967335902753704489780,1.0001210193283841585422042173325473388358794190758,-13.012474896206133649651273689852722635677957420936,false,true,false,true,false,renyi_requirement_failed
falcon,0.500000000000000000000000000000,falcon-epsilon-bkz,128,10,9430,14,16384,6954,0.42443847656250000000000000000000000000000000000000,0.57556152343750000000000000000000000000000000000000,1.7374337221633085896076352067868504772004241781548,0.000087575593464831124392062554846373486921831165262260,1.0006192792787327223678348253900940039640920631933,-10.657122205687898957868676627658069577273173123012,false,true,false,true,false,renyi_requirement_failed
falcon,0.500000000000000000000000000000,falcon-epsilon-bkz,128,10,9547,14,16384,6837,0.41729736328125000000000000000000000000000000000000,0.58270263671875000000000000000000000000000000000000,1.7161411961872839635487587723892322195454069341154,0.000069427221162838511294243988441091254404060348481393,1.0000407520618977548299319364424712770627118575189,-14.582767418420445979276229099589311454565545878957,false,true,false,true,false,renyi_requirement_failed
falcon,0.500000000000000000000000000000,falcon-epsilon-bkz,128,10,9781,14,16384,6603,0.40301513671875000000000000000000000000000000000000,0.59698486328125000000000000000000000000000000000000,1.6750843472037623964829772006952254370718740415090,0.00011691046343794314720633902331618562093025567825627,1.0001039973235785702990444475769410726861101062324,-13.231165979160093737254447611047651221553968533409,false,true,false,true,false,renyi_requirement_failed
falcon,0.500000000000000000000000000000,falcon-epsilon-bkz,128,10,10142,14,16384,6242,0.38098144531250000000000000000000000000000000000000,0.61901855468750000000000000000000000000000000000000,1.6154604614474462630644843226188128574245710905147,0.000079699361156700455066740259118473893967864505182493,1.0000603104151076593323756076571751265067526866455,-14.017233309348296595435422867198512549349014107903,false,true,false,true,false,renyi_requirement_failed
falcon,0.500000000000000000000000000000,falcon-epsilon-bkz,128,10,10259,14,16384,6125,0.37384033203125000000000000000000000000000000000000,0.62615966796875000000000000000000000000000000000000,1.5970367482210741787698606101959255288039769958086,0.000081442218474570961611327722160679231708113555513800,1.0000705615892738138611998093881512056237677433040,-13.790757419045507407517986249927525296364989258309,false,true,false,true,false,renyi_requirement_failed
falcon,0.500000000000000000000000000000,falcon-epsilon-bkz,128,10,10854,14,16384,5530,0.33752441406250000000000000000000000000000000000000,0.66247558593750000000000000000000000000000000000000,1.5094895890915791413303851114796388428229224249125,0.000085837505347622684770947399337885810186612806660443,1.0000845007599126911087349009793504722250047693874,-13.530676158872269524609406453624943655855124634728,false,true,false,true,false,renyi_requirement_failed
falcon,0.500000000000000000000000000000,falcon-epsilon-bkz,128,10,10971,14,16384,5413,0.33038330078125000000000000000000000000000000000000,0.66961669921875000000000000000000000000000000000000,1.4933916689454015130799380184121775590192325221037,0.000098794276784523662459203666298566203598818617620975,1.0001108368567569315741530962618516992208994962575,-13.139274676694776154477195370334272504011729482648,false,true,false,true,false,renyi_requirement_failed
falcon,0.500000000000000000000000000000,falcon-epsilon-bkz,128,10,11566,14,16384,4818,0.29406738281250000000000000000000000000000000000000,0.70593261718750000000000000000000000000000000000000,1.4165657962994985301746498357254020404634272868753,0.000096734659441124281634172916802152464694349642683223,1.0001291238472317905081365764371954954296256501662,-12.918956910229901290352743962456925463588932576248,false,true,false,true,false,renyi_requirement_failed
